N/A,Reference #,Service,Status,Source,Category,N/A,District   ,Lat,Long,Date Time,Department,Q,Year,N/A,N/A,N/A,Agent   ,Customer,N/A
1052,170320-000161,,Closed,CX Console,,,,,,08:08.0,,Tier1,2017,1,3,12,Jennifer Pettigrew,Stanford Yanni,1
62,170207-000005,,Closed,Public API,,,,,,36:51.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
792,170314-000063,Pothole,Closed,End-User pages,,,6,37.3196628,-121.9481566,22:15.0,,Tier1,2017,1,3,11,Swati Nadimpalli,Pradeep Chandolu,1
67,170207-000010,,Closed,Public API,,,,,,47:43.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
733,170311-000048,Illegal Dumping,Closed,End-User pages,,,3,37.3351874,-121.8810715,53:32.0,,Tier1,2017,1,3,10,Swati Nadimpalli,Pradeep Chandolu,1
633,170302-000087,,Closed,Public API,,High,,,,44:20.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
929,170317-000081,,Closed,CX Console,,,,,,53:31.0,,Tier1,2017,1,3,11,agent tier1,Siva Malyala,1
834,170315-000065,,Closed,CX Console,,,,,,02:50.0,,Tier1,2017,1,3,11,Colin Warren,Susan Duffy,1
754,170313-000029,Graffiti,Closed,CX Console,Painted Wall,,,37.3382,121.8863,18:09.0,,Tier1,2017,1,3,11,Test Agenttier1,Test SV,1
1096,170321-000093,,Closed,CX Console,,,,,,54:20.0,,Tier1,2017,1,3,12,Desiree Jafferies,Christopher Millstopher,1
1049,170320-000159,,Closed,CX Console,,,,,,48:09.0,,Tier1,2017,1,3,12,Kia O'Hara,Siva Malyala,1
92,170208-000012,,Closed,Public API,,,,37.3382,121.8863,20:04.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
72,170207-000015,,Closed,Public API,,,,,,57:21.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
260,170220-000002,,Closed,Public API,,High,Test,37.3382,121.8863,33:17.0,,Tier2,2017,1,2,8,Dileep Mudadla,Swati Nadimpalli,1
7,170103-000000,,Closed,CX Console,,,,37.3382,121.8863,54:53.0,City Managers Office,Tier1,2017,1,1,1,Pramod Bojja,Pramod Bojja,1
1051,170320-000160,,Closed,CX Console,,,,,,03:13.0,,Tier1,2017,1,3,12,Terry Choy,Stanford Yanni,1
875,170316-000035,Pothole,Closed,Public API,,,,37.3796193,-121.9677069,05:27.0,,Tier2,2017,1,3,11,,Pramod Kamath,1
79,170207-000022,,Closed,Public API,,,,,,35:46.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
233,170216-000020,,Closed,CX Console,Shopping Carts,,,37.3382,121.8863,17:40.0,,Tier1,2017,1,2,7,pradeep chandolu,Pradeep Chandolu,1
726,170310-000035,,Closed,CX Console,,,,,,14:18.0,,Tier1,2017,1,3,10,Chris Mills,Chris Mills,1
66,170207-000009,,Closed,Public API,,,,,,43:08.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
1106,170321-000123,Streetlight Outage,Closed,Web Console,,,,,,48:28.0,,Tier1,2017,1,3,12,Desiree Jafferies,James Marshal,1
1056,170320-000167,,Closed,CX Console,,,,,,19:52.0,,Tier1,2017,1,3,12,Jennifer Pettigrew,Stanford Yanni,1
1048,170320-000156,,Closed,CX Console,,,,,,46:07.0,,Tier1,2017,1,3,12,Kia O'Hara,Stanford Yanni,1
869,170316-000025,,Closed,CX Console,,,,,,29:58.0,,Tier1,2017,1,3,11,Prajakta Deep,Prajakta Portal,1
91,170208-000011,,Closed,Public API,,,,37.3382,121.8863,19:57.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
71,170207-000014,,Closed,Public API,,,,,,56:58.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
275,170221-000008,Streetlight Outage,Closed,CX Console,Street Light,,,37.3382,121.8863,49:55.0,,Tier1,2017,1,2,8,Pramod Bojja,Pramod Bojja,1
54,170206-000002,,Closed,Public API,,High,,,,37:11.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
259,170220-000001,,Closed,Public API,,,,37.3382,121.8863,30:26.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
78,170207-000021,,Closed,Public API,,,,,,27:39.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
27,170124-000003,,Closed,End-User pages,,,,37.33167559,-121.8901348,30:32.0,Planning,Tier1,2017,1,1,4,,test test,1
11,170111-000001,Graffiti,Closed,End-User pages,Painted Wall,,,,,39:15.0,Office of Cultural Affairs,Tier1,2017,1,1,2,Swati Nadimpalli,Swati Nadimpalli,1
725,170310-000034,General Request,Closed,CX Console,,,,,,07:25.0,,Tier1,2017,1,3,10,Chris Mills,Chris Mills,1
1100,170321-000110,Abandoned Vehicle,Closed,Web Console,Street/Roadside,,6,37.33120039,-121.9064319,24:44.0,,Tier1,2017,1,3,12,Sharon Lee,Amber Struck,1
1050,170320-000157,,Closed,CX Console,,,,,,51:18.0,,Tier1,2017,1,3,12,Swati Ganesh,Stanford Yanni,1
795,170314-000071,Graffiti,Closed,End-User pages,,,3,37.3382082,-121.8863286,56:37.0,,Tier1,2017,1,3,11,,Pradeep Chandolu,1
679,170305-000009,Graffiti,Closed,End-User pages,Tree,,6,37.3196628,-121.9481566,50:06.0,,Tier1,2017,1,3,10,,Swati Nadimpalli,1
